,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Link,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td
83,82,WAS,Dyami Brown,WR,21,2024,0,0,0,6,6,63,1,2,4,0,0,6,37,0,59,784,4,4,,,North Carolina,http://www.sports-reference.com/cfb/players/dyami-brown-1.html,34.0,1.0,1.0,100.0,18.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,0.5,251.2,1.0,2.0,2.0,0.0,0.1,123.0,2306.0,18.7,21.0,67.8,124.0,2308.0,18.6,21.0
84,83,CAR,Tommy Tremble,TE,21,2024,0,0,1,6,6,61,0,0,0,0,0,3,11,1,85,782,9,7,,,Notre Dame,http://www.sports-reference.com/cfb/players/tommy-tremble-1.html,25.0,,,,,,,,,,,,,,1.0,4.0,4.0,0.0,0.2,35.0,396.0,11.3,4.0,15.8,36.0,400.0,11.1,4.0
86,85,GNB,Amari Rodgers,WR,21,2023,0,0,0,2,1,35,0,0,0,0,0,3,18,0,20,249,1,3,,,Clemson,http://www.sports-reference.com/cfb/players/amari-rodgers-1.html,55.0,1.0,3.0,33.3,8.0,0.0,0.0,0.0,0.0,2.7,2.67,8.0,0.1,55.7,6.0,46.0,7.7,1.0,0.8,181.0,2144.0,11.8,15.0,39.0,187.0,2190.0,11.7,16.0
89,88,SFO,Trey Sermon,RB,22,2024,0,0,0,4,1,42,0,0,0,0,0,134,505,3,22,138,0,1,,,Ohio St.,http://www.sports-reference.com/cfb/players/trey-sermon-1.html,45.0,1.0,1.0,100.0,42.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,0.9,452.8,455.0,2946.0,6.5,26.0,65.5,48.0,486.0,10.1,3.0,10.8,503.0,3432.0,6.8,29.0
90,89,HOU,Nico Collins,WR,22,2024,0,1,1,25,25,51,0,0,0,0,0,1,7,0,218,3230,18,2,,,Michigan,http://www.sports-reference.com/cfb/players/nico-collins-1.html,29.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,78.0,1388.0,17.8,13.0,47.9,78.0,1388.0,17.8,13.0
92,91,CLE,Anthony Schwartz,WR,21,2022,0,0,0,2,2,25,0,0,0,0,0,10,96,1,14,186,1,3,,,Auburn,http://www.sports-reference.com/cfb/players/anthony-schwartz-1.html,36.0,,,,,,,,,,,,,,42.0,323.0,7.7,7.0,9.0,117.0,1433.0,12.2,6.0,39.8,159.0,1756.0,11.0,13.0
98,97,LAC,Tre' McKitty,TE,22,2023,0,0,0,1,1,34,0,0,0,0,0,0,0,0,16,117,0,2,,,Georgia,http://www.sports-reference.com/cfb/players/tre-mckitty-1.html,42.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,56.0,628.0,11.2,3.0,15.0,56.0,628.0,11.2,3.0
108,107,NYJ,Michael Carter,RB,22,2024,0,0,2,12,11,48,0,0,0,0,0,326,1359,8,112,771,1,1,,,North Carolina,http://www.sports-reference.com/cfb/players/michael-carter-5.html,44.0,,,,,,,,,,,,,,514.0,3403.0,6.6,22.0,77.3,82.0,656.0,8.0,6.0,14.9,596.0,4059.0,6.8,28.0
110,109,TEN,Dez Fitzpatrick,WR,23,2024,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,49,1,1,,,Louisville,http://www.sports-reference.com/cfb/players/dez-fitzpatrick-1.html,49.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,154.0,2589.0,16.8,21.0,52.8,154.0,2589.0,16.8,21.0
113,112,DET,Amon-Ra St. Brown,WR,21,2024,2,3,3,47,47,66,1,1,7,1,0,22,186,1,430,4851,33,1,,,USC,http://www.sports-reference.com/cfb/players/amon-ra-st-brown-1.html,31.0,,,,,,,,,,,,,,9.0,69.0,7.7,1.0,2.2,178.0,2270.0,12.8,16.0,73.2,187.0,2339.0,12.5,17.0
120,119,MIN,Kene Nwangwu,RB,23,2024,0,0,0,4,3,39,0,0,0,0,0,27,88,0,6,30,0,5,,,Iowa St.,http://www.sports-reference.com/cfb/players/kene-nwangwu-1.html,50.0,,,,,,,,,,,,,,143.0,744.0,5.2,4.0,14.9,7.0,57.0,8.1,0.0,1.1,150.0,801.0,5.3,4.0
121,120,NWE,Rhamondre Stevenson,RB,23,2024,0,0,2,22,22,56,0,0,0,0,0,706,3066,21,154,950,2,3,,,Oklahoma,http://www.sports-reference.com/cfb/players/rhamondre-stevenson-1.html,19.0,,,,,,,,,,,,,,165.0,1180.0,7.2,13.0,62.1,28.0,298.0,10.6,0.0,15.7,193.0,1478.0,7.7,13.0
125,124,WAS,John Bates,TE,23,2024,0,0,0,5,5,67,0,0,0,0,0,0,0,0,61,592,2,5,,,Boise St.,http://www.sports-reference.com/cfb/players/john-bates-1.html,46.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,47.0,579.0,12.3,2.0,12.6,47.0,579.0,12.3,2.0
127,126,CAR,Chuba Hubbard,RB,22,2024,0,0,2,23,23,64,0,0,0,0,0,755,3175,22,121,749,2,4,,,Oklahoma St.,http://www.sports-reference.com/cfb/players/chuba-hubbard-1.html,33.0,,,,,,,,,,,,,,585.0,3459.0,5.9,33.0,104.8,53.0,479.0,9.0,3.0,14.5,638.0,3938.0,6.2,36.0
128,127,IND,Kylen Granson,TE,23,2024,0,0,0,8,8,62,0,0,0,0,0,2,2,0,86,958,1,9,,,SMU,http://www.sports-reference.com/cfb/players/kylen-granson-1.html,39.0,,,,,,,,,,,,,,13.0,103.0,7.9,0.0,2.6,129.0,1879.0,14.6,16.0,48.2,142.0,1982.0,14.0,16.0
130,129,TAM,Jaelon Darden,WR,22,2024,0,0,0,0,0,36,0,0,0,0,0,2,13,0,9,75,0,,,,North Texas,http://www.sports-reference.com/cfb/players/jaelon-darden-1.html,48.0,,,,,,,,,,,,,,7.0,27.0,3.9,0.0,0.6,230.0,2782.0,12.1,38.0,58.0,237.0,2809.0,11.9,38.0
132,131,BAL,Tylan Wallace,WR,22,2024,0,0,0,3,3,54,0,0,0,0,0,0,0,0,18,260,1,8,,,Oklahoma St.,http://www.sports-reference.com/cfb/players/tylan-wallace-1.html,45.0,2.0,2.0,100.0,21.0,0.0,0.0,0.0,0.0,10.5,10.5,10.5,0.5,188.2,3.0,13.0,4.3,1.0,0.3,205.0,3434.0,16.8,26.0,76.3,208.0,3447.0,16.6,27.0
134,133,NOR,Ian Book,QB,23,2021,0,0,0,0,0,1,12,20,135,0,2,3,6,0,0,0,0,,,,Notre Dame,http://www.sports-reference.com/cfb/players/ian-book-1.html,48.0,728.0,1141.0,63.8,8948.0,72.0,6.3,20.0,1.8,7.8,8.32,12.3,186.4,147.0,360.0,1518.0,4.2,17.0,31.6,0.0,0.0,,0.0,0.0,360.0,1518.0,4.2,17.0
142,141,LAR,Jacob Harris,WR,24,2023,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,6,0,2,,,Central Florida,http://www.sports-reference.com/cfb/players/jacob-harris-2.html,36.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,49.0,987.0,20.1,9.0,27.4,49.0,987.0,20.1,9.0
146,145,JAX,Luke Farrell,TE,23,2024,0,0,0,2,2,66,0,0,0,0,0,0,0,0,36,318,0,4,,,Ohio St.,http://www.sports-reference.com/cfb/players/luke-farrell-1.html,43.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,34.0,380.0,11.2,4.0,8.8,34.0,380.0,11.2,4.0
148,147,HOU,Brevin Jordan,TE,21,2024,0,0,0,4,4,36,0,0,0,0,0,0,0,0,53,532,5,1,,,Miami (FL),http://www.sports-reference.com/cfb/players/brevin-jordan-1.html,31.0,1.0,1.0,100.0,15.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,0.5,226.0,3.0,1.0,0.3,0.0,0.0,105.0,1358.0,12.9,13.0,43.8,108.0,1359.0,12.6,13.0
151,150,PHI,Kenneth Gainwell,RB,22,2024,0,0,0,16,16,66,1,1,17,0,0,280,1185,12,102,721,1,5,,,Memphis,http://www.sports-reference.com/cfb/players/kenny-gainwell-1.html,18.0,,,,,,,,,,,,,,235.0,1550.0,6.6,14.0,86.1,57.0,662.0,11.6,3.0,36.8,292.0,2212.0,7.6,17.0
158,157,MIN,Ihmir Smith-Marsette,WR,22,2024,0,0,0,4,1,48,0,0,0,0,0,9,73,1,14,182,2,1,,,Iowa,http://www.sports-reference.com/cfb/players/ihmir-smith-marsette-1.html,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,34.0,274.0,8.1,4.0,6.2,110.0,1615.0,14.7,13.0,36.7,144.0,1889.0,13.1,17.0
163,162,KAN,Noah Gray,TE,22,2024,0,0,2,10,10,67,0,0,0,0,0,3,-2,1,103,1077,9,4,,,Duke,http://www.sports-reference.com/cfb/players/noah-gray-1.html,48.0,1.0,1.0,100.0,11.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,0.2,192.4,2.0,3.0,1.5,0.0,0.1,105.0,948.0,9.0,8.0,19.8,107.0,951.0,8.9,8.0
180,179,DAL,Simi Fehoko,WR,23,2024,0,0,0,1,0,24,0,0,0,0,0,0,0,0,10,139,1,2,,,Stanford,http://www.sports-reference.com/cfb/players/simi-fehoko-1.html,21.0,,,,,,,,,,,,,,1.0,-1.0,-1.0,0.0,0.0,62.0,1146.0,18.5,9.0,54.6,63.0,1145.0,18.2,9.0
182,181,KAN,Cornell Powell,WR,23,2022,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Clemson,http://www.sports-reference.com/cfb/players/cornell-powell-1.html,54.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,93.0,1211.0,13.0,10.0,22.4,93.0,1211.0,13.0,10.0
185,184,BAL,Ben Mason,FB,22,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,http://www.sports-reference.com/cfb/players/ben-mason-1.html,45.0,,,,,,,,,,,,,,37.0,87.0,2.4,9.0,1.9,3.0,32.0,10.7,1.0,0.7,40.0,119.0,3.0,10.0
188,187,ATL,Frank Darby,WR,23,2023,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2,29,0,,,,Arizona St.,http://www.sports-reference.com/cfb/players/frank-darby-1.html,40.0,,,,,,,,,,,,,,1.0,21.0,21.0,1.0,0.5,67.0,1317.0,19.7,13.0,32.9,68.0,1338.0,19.7,14.0
195,194,SFO,Elijah Mitchell,RB,23,2023,0,0,0,11,11,27,0,0,0,0,0,327,1523,9,28,158,1,,,,Louisiana,http://www.sports-reference.com/cfb/players/elijah-mitchell-2.html,43.0,,,,,,,,,,,,,,526.0,3259.0,6.2,41.0,75.8,49.0,597.0,12.2,5.0,13.9,575.0,3856.0,6.7,46.0
197,196,NYG,Gary Brightwell,RB,22,2024,0,0,0,1,1,39,0,0,0,0,0,41,164,1,11,92,0,3,,,Arizona,http://www.sports-reference.com/cfb/players/gary-brightwell-1.html,40.0,,,,,,,,,,,,,,245.0,1305.0,5.3,9.0,32.6,19.0,121.0,6.4,1.0,3.0,264.0,1426.0,5.4,10.0
199,198,LAC,Larry Rountree,RB,22,2022,0,0,0,1,1,16,0,0,0,0,0,49,106,1,3,13,0,,,,Missouri,http://www.sports-reference.com/cfb/players/larry-rountree-iii-1.html,48.0,,,,,,,,,,,,,,746.0,3720.0,5.0,40.0,77.5,47.0,289.0,6.1,0.0,6.0,793.0,4009.0,5.1,40.0
203,202,CIN,Chris Evans,RB,23,2023,0,0,0,2,2,34,0,0,0,0,0,19,89,0,19,188,3,6,,,Michigan,http://www.sports-reference.com/cfb/players/chris-evans-2.html,43.0,,,,,,,,,,,,,,320.0,1795.0,5.6,15.0,41.7,49.0,479.0,9.8,2.0,11.1,369.0,2274.0,6.2,17.0
204,203,BUF,Marquez Stevenson,WR,23,2021,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,Houston,http://www.sports-reference.com/cfb/players/marquez-stevenson-1.html,32.0,1.0,1.0,100.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,1.0,360.4,26.0,231.0,8.9,2.0,7.2,147.0,2269.0,15.4,22.0,70.9,173.0,2500.0,14.5,24.0
205,204,CAR,Shi Smith,WR,22,2022,0,0,0,4,4,23,0,0,0,0,0,1,-3,0,28,400,2,4,,,South Carolina,http://www.sports-reference.com/cfb/players/shi-smith-1.html,43.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,9.0,14.0,1.6,0.0,0.3,174.0,2204.0,12.7,13.0,51.3,183.0,2218.0,12.1,13.0
206,205,TEN,Racey McMath,WR,22,2022,0,0,0,0,0,14,0,0,0,0,0,1,4,0,4,48,0,2,,,LSU,http://www.sports-reference.com/cfb/players/racey-mcmath-1.html,34.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,33.0,522.0,15.8,4.0,15.4,33.0,522.0,15.8,4.0
210,209,JAX,Jalen Camp,WR,23,2022,0,0,0,0,,5,0,0,0,0,0,0,0,0,1,7,0,,,,Georgia Tech,http://www.sports-reference.com/cfb/players/jalen-camp-1.html,50.0,,,,,,,,,,,,,,1.0,3.0,3.0,0.0,0.1,48.0,808.0,16.8,5.0,16.2,49.0,811.0,16.6,5.0
212,211,CLE,Demetric Felton,RB,23,2022,0,0,0,2,2,24,0,0,0,0,0,8,20,0,20,189,2,3,,,UCLA,http://www.sports-reference.com/cfb/players/demetric-felton-1.html,41.0,,,,,,,,,,,,,,233.0,1101.0,4.7,7.0,26.9,99.0,958.0,9.7,8.0,23.4,332.0,2059.0,6.2,15.0
218,217,CHI,Khalil Herbert,RB,23,2024,0,0,1,13,12,56,0,0,0,0,0,400,1905,9,53,312,2,6,,,Virginia Tech,http://www.sports-reference.com/cfb/players/khalil-herbert-1.html,46.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,474.0,2917.0,6.2,22.0,63.4,33.0,293.0,8.9,1.0,6.4,507.0,3210.0,6.3,23.0
219,218,IND,Sam Ehlinger,QB,22,2023,0,0,0,2,2,8,64,101,573,3,3,20,96,0,0,0,0,,,,Texas,http://www.sports-reference.com/cfb/players/sam-ehlinger-1.html,46.0,923.0,1476.0,62.5,11436.0,94.0,6.4,27.0,1.8,7.7,8.2,12.4,248.6,145.0,554.0,1907.0,3.4,33.0,41.5,9.0,115.0,12.8,0.0,2.5,563.0,2022.0,3.6,33.0
220,219,DEN,Seth Williams,WR,21,2021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,34,0,,,,Auburn,http://www.sports-reference.com/cfb/players/seth-williams-1.html,36.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,132.0,2124.0,16.1,17.0,59.0,132.0,2124.0,16.1,17.0
222,221,CHI,Dazz Newsome,WR,22,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,23,0,1,,,North Carolina,http://www.sports-reference.com/cfb/players/dazz-newsome-1.html,44.0,1.0,1.0,100.0,43.0,0.0,0.0,0.0,0.0,43.0,43.0,43.0,1.0,461.2,20.0,178.0,8.9,2.0,4.0,188.0,2435.0,13.0,18.0,55.3,208.0,2613.0,12.6,20.0
234,233,LAR,Jake Funk,RB,23,2023,0,0,0,0,0,20,0,0,0,0,0,4,15,0,1,12,0,1,,,Maryland,http://www.sports-reference.com/cfb/players/jake-funk-1.html,36.0,1.0,1.0,100.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.1,125.2,135.0,968.0,7.2,10.0,26.9,23.0,134.0,5.8,3.0,3.7,158.0,1102.0,7.0,13.0
243,242,NWE,Tre Nixon,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Central Florida,http://www.sports-reference.com/cfb/players/tre-nixon-1.html,40.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,109.0,1671.0,15.3,13.0,41.8,109.0,1671.0,15.3,13.0
245,244,MIA,Gerrid Doaks,RB,23,,0,0,0,,,,,,,,,,,,,,,,,,Cincinnati,http://www.sports-reference.com/cfb/players/gerrid-doaks-1.html,31.0,,,,,,,,,,,,,,331.0,1712.0,5.2,14.0,55.2,36.0,407.0,11.3,4.0,13.1,367.0,2119.0,5.8,18.0
250,249,LAR,Ben Skowronek,WR,24,2024,0,0,1,7,6,55,0,0,0,0,0,3,26,1,63,644,1,22,,,Notre Dame,http://www.sports-reference.com/cfb/players/ben-skowronek-1.html,54.0,,,,,,,,,,,,,,2.0,17.0,8.5,1.0,0.3,139.0,1856.0,13.4,13.0,34.4,141.0,1873.0,13.3,14.0
