Rk,Player,Tm,FantPos,Age,Games_G,Games_GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Fumbles_Fmb,Fumbles_FL,Scoring_TD,Scoring_2PM,Scoring_2PP,Fantasy_FantPt,Fantasy_PPR,Fantasy_DKPt,Fantasy_FDPt,Fantasy_VBD,Fantasy_PosRank,Fantasy_OvRank,FirstTeamAllPro,SelectedToProBowl,Passing_Cmp_pass,Passing_Att_pass,Air Yards_IAY,Air Yards_IAY/PA,Air Yards_CAY,Air Yards_CAY/Cmp,Air Yards_CAY/PA,Air Yards_YAC,Air Yards_YAC/Cmp,Accuracy_Bats,Accuracy_ThAwy,Accuracy_Spikes,Accuracy_Drops,Accuracy_Drop%,Accuracy_BadTh,Accuracy_Bad%,Accuracy_OnTgt,Accuracy_OnTgt%,Pressure_PktTime,Pressure_Bltz,Pressure_Hrry,Pressure_Hits,Pressure_Prss,Pressure_Prss%,Pressure_Scrm,Pressure_Yds/Scr,RPO_Plays,RPO_Yds,RPO_PassAtt,RPO_PassYds,RPO_RushAtt,RPO_RushYds,PlayAction_PassAtt,PlayAction_PassYds,Rushing_Att_rush,Rushing_Yds_rush,Rushing_1D,Rushing_YBC,Rushing_YBC/Att,Rushing_YAC,Rushing_YAC/Att,Rushing_BrkTkl,Rushing_Att/Br,Receiving_Tgt_rec,Receiving_Rec_rec,Receiving_Yds_rec,Receiving_1D,Receiving_YBC,Receiving_YBC/R,Receiving_YAC,Receiving_YAC/R,Receiving_ADOT,Receiving_BrkTkl,Receiving_Rec/Br,Receiving_Drop,Receiving_Drop%,Receiving_Int,Receiving_Rat,Awards,Year
45,Zach Ertz,WAS,TE,34,17,17,0,0,0,0,0,0,0,,0,91,66,654,9.91,7,1,0,7,2,,111,177.4,180.4,144.4,26,8,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,66.0,654.0,38.0,467.0,7.1,187.0,2.8,7.4,0.0,,4.0,4.4,2.0,109.0,AP CPoY-17,2024
46,Davante Adams,2TM,WR,32,14,14,0,0,0,0,0,0,0,,0,141,85,1063,12.51,8,0,0,8,1,,156,241.3,244.3,198.8,25,12,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,85.0,1063.0,49.0,590.0,6.9,473.0,5.6,8.2,7.0,12.1,6.0,4.3,3.0,93.8,,2024
47,Sam Darnold,MIN,QB,27,17,17,361,545,4319,35,12,67,212,3.16,1,0,0,0,,0,8,4,1,,,308,308.0,330.0,320.0,24,9,47,,1.0,361.0,545.0,4561.0,8.4,2566.0,7.1,4.7,1753.0,4.9,10.0,29.0,1.0,19.0,3.7,77.0,15.0,400.0,77.7,2.6,137.0,52.0,52.0,152.0,24.5,28.0,7.9,28.0,218.0,25.0,185.0,3.0,33.0,149.0,1474.0,67.0,212.0,23.0,155.0,2.3,57.0,0.9,1.0,67.0,,,,,,,,,,,,,,,,,2024
48,Jameson Williams,DET,WR,23,15,11,0,0,0,0,0,11,61,5.55,1,91,58,1001,17.26,7,0,0,8,,,154,212.2,215.2,183.2,23,13,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,61.0,5.0,40.0,3.6,21.0,1.9,1.0,11.0,91.0,58.0,1001.0,41.0,504.0,8.7,497.0,8.6,11.2,2.0,29.0,3.0,3.3,3.0,112.9,AP CPoY-19,2024
49,D'Andre Swift,CHI,RB,25,17,17,0,0,0,0,0,253,959,3.79,6,52,42,386,9.19,0,2,0,6,1,,173,214.5,220.5,193.5,22,19,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.0,959.0,43.0,511.0,2.0,448.0,1.8,7.0,36.1,52.0,42.0,386.0,12.0,-19.0,-0.5,405.0,9.6,0.0,2.0,21.0,3.0,5.8,1.0,89.6,,2024
50,Jaxon Smith-Njigba,SEA,WR,22,17,16,1,1,35,0,0,5,26,5.20,0,137,100,1130,11.30,6,1,0,6,,,153,253.0,256.0,203.0,22,14,50,,1.0,1.0,1.0,35.0,35.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,3.6,0.0,0.0,1.0,1.0,100.0,0.0,,1.0,35.0,1.0,35.0,0.0,0.0,0.0,0.0,5.0,26.0,1.0,17.0,3.4,9.0,1.8,0.0,,137.0,100.0,1130.0,57.0,653.0,6.5,477.0,4.8,8.7,4.0,25.0,5.0,3.6,4.0,99.7,PB,2024
51,Jerry Jeudy,CLE,WR,25,17,16,0,0,0,0,0,0,0,,0,145,90,1229,13.66,4,0,0,4,2,,151,240.9,243.9,195.9,20,15,51,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,90.0,1229.0,57.0,842.0,9.4,387.0,4.3,11.1,0.0,,13.0,9.0,3.0,89.7,PB,2024
52,Garrett Wilson,NYJ,WR,24,17,17,0,0,0,0,0,2,5,2.50,0,154,101,1104,10.93,7,2,2,7,1,,151,251.9,256.9,201.4,20,16,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,1.0,0.0,0.0,5.0,2.5,1.0,2.0,154.0,101.0,1104.0,60.0,662.0,6.6,442.0,4.4,9.1,7.0,14.4,7.0,4.5,5.0,88.2,,2024
53,Najee Harris,PIT,RB,26,17,17,0,0,0,0,0,263,1043,3.97,6,48,36,283,7.86,0,0,0,6,,,169,204.6,210.6,186.6,19,20,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.0,1043.0,50.0,502.0,1.9,541.0,2.1,22.0,12.0,48.0,36.0,283.0,13.0,-46.0,-1.3,329.0,9.1,-1.5,7.0,5.1,4.0,8.3,0.0,89.1,,2024
54,Jordan Addison,MIN,WR,22,15,15,0,0,0,0,0,3,20,6.67,1,99,63,875,13.89,9,0,0,10,,,150,212.5,215.5,181.0,19,18,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,20.0,1.0,10.0,3.3,10.0,3.3,1.0,3.0,99.0,63.0,875.0,39.0,662.0,10.5,213.0,3.4,13.0,3.0,21.0,2.0,2.0,2.0,113.8,,2024
55,A.J. Brown,PHI,WR,27,13,13,0,0,0,0,0,0,0,,0,97,67,1079,16.10,7,0,0,7,,,150,216.9,219.9,183.4,19,17,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,67.0,1079.0,51.0,726.0,10.8,353.0,5.3,12.1,9.0,7.4,0.0,0.0,2.0,121.5,AP-2,2024
56,Tee Higgins,CIN,WR,25,12,9,0,0,0,0,0,0,0,,0,109,73,911,12.48,10,1,1,10,,,149,222.1,226.1,185.6,18,19,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,73.0,911.0,48.0,683.0,9.4,228.0,3.1,9.8,7.0,10.4,3.0,2.8,1.0,119.5,,2024
57,Pat Freiermuth,PIT,TE,26,17,11,0,0,0,0,0,0,0,,0,78,65,653,10.05,7,3,2,7,,,103,168.3,173.3,135.8,18,9,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,65.0,653.0,32.0,374.0,5.8,279.0,4.3,6.1,4.0,16.3,4.0,5.1,1.0,126.1,,2024
58,Kyler Murray,ARI,QB,27,17,17,372,541,3851,21,11,78,572,7.33,5,0,0,0,,0,8,4,5,1,,297,297.2,318.2,308.2,14,10,58,,,372.0,541.0,3669.0,6.8,1883.0,5.1,3.5,1968.0,5.3,14.0,19.0,1.0,17.0,3.3,66.0,12.7,412.0,79.1,2.4,155.0,47.0,23.0,100.0,16.3,42.0,8.7,63.0,529.0,53.0,467.0,9.0,62.0,126.0,1205.0,78.0,572.0,27.0,468.0,6.0,104.0,1.3,2.0,39.0,,,,,,,,,,,,,,,,,2024
59,Travis Kelce,KAN,TE,35,16,16,0,0,0,0,0,1,1,1.00,0,133,97,823,8.48,3,2,1,3,,,98,195.4,199.4,146.9,13,10,59,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,133.0,97.0,823.0,47.0,482.0,5.0,341.0,3.5,6.4,3.0,32.3,6.0,4.5,4.0,83.6,PB,2024
60,Nico Collins,HOU,WR,25,12,12,0,0,0,0,0,0,0,,0,99,68,1006,14.79,7,0,0,7,,,143,210.6,213.6,176.6,12,20,60,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,68.0,1006.0,48.0,641.0,9.4,365.0,5.4,10.7,2.0,34.0,3.0,3.0,5.0,104.2,PB,2024
61,Jayden Reed,GNB,WR,24,17,10,0,0,0,0,0,20,163,8.15,1,75,55,857,15.58,6,3,1,7,,,142,197.0,204.0,169.5,12,21,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,163.0,7.0,114.0,5.7,49.0,2.5,2.0,10.0,75.0,55.0,857.0,29.0,477.0,8.7,380.0,6.9,9.1,3.0,18.3,9.0,12.0,0.0,137.5,,2024
62,J.K. Dobbins,LAC,RB,26,13,11,0,0,0,0,0,195,905,4.64,9,38,32,153,4.78,0,0,0,9,,,160,191.8,197.8,175.8,11,21,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.0,905.0,47.0,416.0,2.1,489.0,2.5,24.0,8.1,38.0,32.0,153.0,6.0,-51.0,-1.6,204.0,6.4,-1.2,1.0,32.0,2.0,5.3,0.0,83.4,AP CPoY-2,2024
63,Tony Pollard,TEN,RB,27,16,16,0,0,0,0,0,260,1079,4.15,5,57,41,238,5.80,0,2,2,5,1,,160,200.7,208.7,180.2,10,22,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.0,1079.0,53.0,521.0,2.0,558.0,2.1,22.0,11.8,57.0,41.0,238.0,9.0,17.0,0.4,221.0,5.4,0.1,2.0,20.5,8.0,14.0,1.0,72.1,,2024
64,Rico Dowdle,DAL,RB,26,16,15,0,0,0,0,0,235,1079,4.59,2,49,39,249,6.38,3,3,2,5,,,159,197.8,205.8,178.3,10,23,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.0,1079.0,53.0,570.0,2.4,509.0,2.2,11.0,21.4,49.0,39.0,249.0,13.0,-23.0,-0.6,272.0,7.0,-0.1,3.0,13.0,2.0,4.1,0.0,108.2,,2024
65,D.J. Moore,CHI,WR,27,17,17,0,1,0,0,0,14,75,5.36,0,140,98,966,9.86,6,1,1,6,1,,140,238.1,242.1,189.1,10,22,65,,,0.0,1.0,33.0,33.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,75.0,3.0,56.0,4.0,19.0,1.4,1.0,14.0,140.0,98.0,966.0,43.0,378.0,3.9,588.0,6.0,7.5,5.0,19.6,3.0,2.1,3.0,94.5,,2024
66,Tyreek Hill,MIA,WR,30,17,17,0,0,0,0,0,8,53,6.63,0,123,81,959,11.84,6,0,0,6,,,137,218.2,221.2,177.7,7,23,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,53.0,2.0,45.0,5.6,8.0,1.0,1.0,8.0,123.0,81.0,959.0,54.0,667.0,8.2,292.0,3.6,11.4,1.0,81.0,2.0,1.6,3.0,95.5,,2024
67,Zay Flowers,BAL,WR,24,17,15,0,0,0,0,0,9,56,6.22,0,116,74,1059,14.31,4,0,0,4,,,136,209.5,212.5,172.5,6,24,67,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,56.0,1.0,27.0,3.0,29.0,3.2,1.0,9.0,116.0,74.0,1059.0,48.0,596.0,8.1,463.0,6.3,10.0,7.0,10.6,6.0,5.2,0.0,104.8,PB,2024
68,Marvin Harrison Jr.,ARI,WR,22,17,16,0,0,0,0,0,0,0,,0,116,62,885,14.27,8,1,1,8,,,135,196.5,200.5,165.5,5,26,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,62.0,885.0,43.0,737.0,11.9,148.0,2.4,13.4,0.0,,5.0,4.3,4.0,87.0,,2024
69,Calvin Ridley,TEN,WR,30,17,14,0,0,0,0,0,8,55,6.88,1,120,64,1017,15.89,4,1,1,5,,,135,199.2,203.2,167.2,5,25,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,55.0,3.0,42.0,5.3,13.0,1.6,1.0,8.0,120.0,64.0,1017.0,40.0,786.0,12.3,231.0,3.6,15.3,4.0,16.0,6.0,5.0,4.0,79.1,,2024
70,Jauan Jennings,SFO,WR,27,15,10,0,0,0,0,0,0,0,,0,113,77,975,12.66,6,1,0,6,,,134,210.5,213.5,172.0,4,27,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,77.0,975.0,47.0,737.0,9.6,238.0,3.1,9.9,5.0,15.4,5.0,4.4,3.0,101.5,,2024
71,Justin Herbert,LAC,QB,26,17,17,332,504,3870,23,3,69,306,4.43,2,0,0,0,,0,6,2,2,,3,285,285.4,296.4,288.4,3,11,71,,,332.0,504.0,4326.0,8.6,2182.0,6.6,4.3,1688.0,5.1,10.0,14.0,3.0,32.0,6.6,67.0,13.8,388.0,79.7,2.5,156.0,20.0,62.0,123.0,21.4,31.0,10.0,51.0,535.0,42.0,489.0,4.0,46.0,143.0,1431.0,69.0,306.0,23.0,224.0,3.2,82.0,1.2,2.0,34.5,,,,,,,,,,,,,,,,,2024
72,DeVonta Smith,PHI,WR,26,13,13,0,0,0,0,0,1,1,1.00,0,89,68,833,12.25,8,0,0,8,,,131,199.4,202.4,165.4,2,28,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,89.0,68.0,833.0,42.0,534.0,7.9,299.0,4.4,9.1,0.0,,2.0,2.2,3.0,120.7,,2024
73,Jakobi Meyers,LVR,WR,28,15,15,0,0,0,0,0,2,23,11.50,0,129,87,1027,11.80,4,0,0,4,1,,131,218.0,221.0,174.5,1,29,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,23.0,1.0,10.0,5.0,13.0,6.5,0.0,,129.0,87.0,1027.0,52.0,734.0,8.4,293.0,3.4,9.6,4.0,21.8,1.0,0.8,3.0,92.1,,2024
74,Patrick Mahomes,KAN,QB,29,16,16,392,581,3928,26,11,58,307,5.29,2,1,1,2,2.00,0,2,0,2,,,282,283.0,300.0,293.5,,12,74,,,392.0,581.0,3601.0,6.2,1628.0,4.2,2.8,2300.0,5.9,10.0,26.0,2.0,26.0,4.7,87.0,15.7,425.0,76.9,2.3,140.0,46.0,70.0,152.0,23.3,36.0,9.1,98.0,716.0,97.0,712.0,1.0,4.0,101.0,818.0,58.0,307.0,22.0,240.0,4.1,67.0,1.2,0.0,,1.0,1.0,2.0,0.0,-1.0,-1.0,3.0,3.0,-1.0,0.0,,0.0,0.0,0.0,79.2,"AP MVP-6,AP OPoY-17",2024
75,Brock Purdy,SFO,QB,25,15,15,300,455,3864,20,12,66,323,4.89,5,0,0,0,,0,7,3,5,,,267,266.9,287.9,278.9,,13,75,,,300.0,455.0,3809.0,8.4,2220.0,7.4,4.9,1644.0,5.5,10.0,10.0,5.0,19.0,4.3,62.0,14.1,345.0,78.4,2.5,142.0,32.0,38.0,101.0,19.1,44.0,6.8,38.0,374.0,32.0,351.0,2.0,23.0,86.0,896.0,66.0,323.0,33.0,259.0,3.9,64.0,1.0,2.0,33.0,,,,,,,,,,,,,,,,,2024
76,Geno Smith,SEA,QB,34,17,17,407,578,4320,21,15,53,272,5.13,2,0,0,0,,0,9,0,2,,,266,266.0,287.0,281.0,,14,76,,,407.0,578.0,3942.0,6.8,2139.0,5.3,3.7,2181.0,5.4,14.0,20.0,2.0,20.0,3.6,58.0,10.4,455.0,81.8,2.4,138.0,36.0,57.0,143.0,21.9,24.0,10.7,64.0,339.0,58.0,331.0,2.0,8.0,82.0,510.0,53.0,272.0,17.0,254.0,4.8,18.0,0.3,0.0,,,,,,,,,,,,,,,,,,2024
77,Aaron Rodgers,NYJ,QB,41,17,17,368,584,3897,28,11,22,107,4.86,0,0,0,0,,0,5,2,0,,2,257,256.6,275.6,267.6,,15,77,,,368.0,584.0,3996.0,6.8,1778.0,4.8,3.0,2119.0,5.8,13.0,16.0,0.0,39.0,6.9,98.0,17.3,429.0,75.5,2.3,141.0,35.0,52.0,127.0,19.8,16.0,6.4,87.0,723.0,85.0,715.0,1.0,8.0,112.0,733.0,22.0,107.0,7.0,102.0,4.6,5.0,0.2,1.0,22.0,,,,,,,,,,,,,,,,,2024
78,Caleb Williams,CHI,QB,23,17,17,351,562,3541,20,6,81,489,6.04,0,0,0,0,,0,10,5,0,,3,255,254.5,271.5,260.5,,16,78,,,351.0,562.0,4443.0,7.9,1675.0,4.8,3.0,1866.0,5.3,9.0,36.0,4.0,20.0,3.8,110.0,21.1,378.0,72.4,2.4,174.0,52.0,40.0,160.0,23.5,51.0,7.9,53.0,335.0,34.0,268.0,13.0,67.0,85.0,626.0,81.0,489.0,27.0,385.0,4.8,104.0,1.3,5.0,16.2,,,,,,,,,,,,,,,,,2024
79,Jordan Love,GNB,QB,26,15,15,268,425,3389,25,11,25,83,3.32,1,0,0,0,,0,4,0,1,,3,234,233.9,247.9,244.9,,17,,,,268.0,425.0,3685.0,8.7,1735.0,6.5,4.1,1654.0,6.2,6.0,14.0,0.0,30.0,7.3,75.0,18.2,301.0,73.2,2.4,142.0,37.0,49.0,100.0,22.2,12.0,7.1,48.0,342.0,48.0,342.0,0.0,0.0,89.0,825.0,25.0,83.0,9.0,48.0,1.9,35.0,1.4,0.0,,,,,,,,,,,,,,,,,,2024
80,C.J. Stroud,HOU,QB,23,17,17,336,532,3727,20,12,52,233,4.48,0,1,0,0,,0,6,4,0,,,220,220.4,242.4,232.4,,18,,,,336.0,532.0,4376.0,8.2,2063.0,6.1,3.9,1664.0,5.0,8.0,22.0,1.0,26.0,5.1,95.0,18.7,373.0,73.3,2.5,154.0,66.0,56.0,174.0,28.0,37.0,6.8,42.0,330.0,38.0,322.0,1.0,8.0,123.0,1011.0,52.0,233.0,14.0,190.0,3.7,43.0,0.8,3.0,17.3,1.0,0.0,0.0,0.0,0.0,,0.0,,10.0,0.0,,0.0,0.0,0.0,39.6,,2024
81,Matthew Stafford,LAR,QB,36,16,16,340,517,3762,20,8,30,41,1.37,0,0,0,0,,0,6,2,0,,,215,214.6,227.6,222.6,,19,,,,340.0,517.0,3696.0,7.1,2036.0,6.0,3.9,1726.0,5.1,15.0,15.0,1.0,15.0,3.0,88.0,17.6,372.0,74.3,2.4,144.0,31.0,63.0,122.0,22.3,3.0,12.7,19.0,154.0,19.0,154.0,0.0,0.0,151.0,1397.0,30.0,41.0,10.0,36.0,1.2,5.0,0.2,0.0,,,,,,,,,,,,,,,,,,2024
82,Bryce Young,CAR,QB,23,14,12,234,384,2403,15,9,43,249,5.79,6,0,0,0,,0,5,2,6,,,195,195.0,212.0,204.0,,20,,,,234.0,384.0,3298.0,8.6,1434.0,6.1,3.7,969.0,4.1,1.0,25.0,0.0,15.0,4.2,80.0,22.3,258.0,71.9,2.3,136.0,53.0,38.0,120.0,26.7,37.0,6.9,41.0,200.0,36.0,198.0,2.0,2.0,70.0,451.0,43.0,249.0,15.0,217.0,5.0,32.0,0.7,4.0,10.8,,,,,,,,,,,,,,,,,2024
83,Tua Tagovailoa,MIA,QB,26,11,11,291,399,2867,19,7,17,49,2.88,0,0,0,0,,0,7,2,0,,2,182,181.6,193.6,188.6,,21,,,,291.0,399.0,2281.0,5.7,1182.0,4.1,3.0,1685.0,5.8,6.0,6.0,2.0,14.0,3.6,45.0,11.5,318.0,81.3,2.1,64.0,26.0,11.0,58.0,13.6,7.0,8.1,72.0,673.0,69.0,662.0,1.0,11.0,69.0,505.0,17.0,49.0,5.0,49.0,2.9,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,2024
84,Drake Maye,NWE,QB,22,13,12,225,338,2276,15,10,54,421,7.80,2,0,0,0,,0,9,6,2,,2,177,177.1,199.1,187.1,,22,,,1.0,225.0,338.0,2442.0,7.2,1084.0,4.8,3.2,1192.0,5.3,7.0,14.0,1.0,11.0,3.4,53.0,16.4,246.0,76.2,2.3,96.0,23.0,26.0,83.0,19.9,45.0,9.0,37.0,337.0,30.0,270.0,5.0,67.0,48.0,352.0,54.0,421.0,22.0,335.0,6.2,86.0,1.6,2.0,27.0,,,,,,,,,,,,,,,,,2024
85,Kirk Cousins,ATL,QB,36,14,14,303,453,3508,18,16,23,0,0.00,0,0,0,0,,0,13,2,0,,,176,176.3,197.3,192.3,,23,,,,303.0,453.0,3392.0,7.5,1821.0,6.0,4.0,1687.0,5.6,15.0,12.0,4.0,16.0,3.7,51.0,11.7,340.0,77.8,2.4,106.0,25.0,47.0,100.0,20.7,3.0,5.3,8.0,28.0,7.0,30.0,1.0,-2.0,64.0,461.0,23.0,0.0,2.0,-8.0,-0.3,8.0,0.3,0.0,,,,,,,,,,,,,,,,,,2024
86,Russell Wilson,PIT,QB,36,11,11,214,336,2482,16,5,43,155,3.60,2,0,0,0,,0,5,4,2,,,173,172.8,187.8,177.8,,24,,,1.0,214.0,336.0,2639.0,7.9,1360.0,6.4,4.0,1122.0,5.2,6.0,25.0,2.0,14.0,4.5,52.0,16.8,236.0,76.4,2.4,91.0,27.0,45.0,105.0,26.9,21.0,7.0,23.0,92.0,19.0,77.0,3.0,15.0,79.0,694.0,43.0,155.0,16.0,142.0,3.3,13.0,0.3,0.0,,,,,,,,,,,,,,,,,,2024
87,Anthony Richardson,IND,QB,22,11,11,126,264,1814,8,12,86,499,5.80,6,1,1,-1,-1.00,0,9,3,6,1,,162,163.4,184.4,174.9,,25,,,,126.0,264.0,3210.0,12.2,1038.0,8.2,3.9,776.0,6.2,5.0,12.0,2.0,12.0,4.8,70.0,28.0,145.0,58.0,2.4,67.0,35.0,30.0,79.0,26.4,21.0,8.8,69.0,555.0,49.0,447.0,18.0,108.0,77.0,708.0,86.0,499.0,34.0,363.0,4.2,136.0,1.6,9.0,9.6,1.0,1.0,-1.0,0.0,-8.0,-8.0,7.0,7.0,-8.0,0.0,,0.0,0.0,0.0,79.2,AP CPoY-25,2024
88,Derek Carr,NOR,QB,33,10,10,189,279,2145,15,5,17,71,4.18,1,0,0,0,,0,3,0,1,,1,151,150.9,158.9,155.9,,26,,,,189.0,279.0,2167.0,7.8,1058.0,5.6,3.8,1087.0,5.8,5.0,17.0,0.0,10.0,3.8,37.0,14.1,201.0,76.7,2.4,79.0,42.0,21.0,71.0,24.1,8.0,6.3,11.0,153.0,10.0,144.0,1.0,9.0,71.0,779.0,17.0,71.0,4.0,66.0,3.9,5.0,0.3,0.0,,,,,,,,,,,,,,,,,,2024
89,Rachaad White,TAM,RB,25,16,15,0,0,0,0,0,144,613,4.26,3,57,51,393,7.71,6,3,3,9,,,149,199.6,208.6,174.1,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,613.0,35.0,231.0,1.6,382.0,2.7,9.0,16.0,57.0,51.0,393.0,18.0,-123.0,-2.4,516.0,10.1,-1.9,3.0,17.0,0.0,0.0,0.0,130.5,,2024
90,Zach Charbonnet,SEA,RB,23,17,6,0,0,0,0,0,135,569,4.21,8,52,42,340,8.10,1,0,0,9,,,145,186.9,192.9,165.9,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,569.0,32.0,267.0,2.0,302.0,2.2,12.0,11.3,52.0,42.0,340.0,6.0,-37.0,-0.9,377.0,9.0,-0.9,0.0,,0.0,0.0,1.0,92.3,,2024
91,Trevor Lawrence,JAX,QB,25,10,10,172,284,2045,11,7,26,119,4.58,3,0,0,-5,,0,3,1,3,,3,145,145.2,159.2,152.2,,27,,,,172.0,284.0,2641.0,9.3,1211.0,7.0,4.3,834.0,4.8,4.0,9.0,1.0,15.0,5.5,47.0,17.2,202.0,73.7,2.4,71.0,13.0,17.0,48.0,15.2,13.0,8.1,35.0,302.0,32.0,286.0,3.0,16.0,59.0,620.0,26.0,119.0,13.0,89.0,3.4,30.0,1.2,2.0,13.0,0.0,0.0,-5.0,0.0,0.0,,-5.0,,,0.0,,0.0,,0.0,,,2024
92,Tyrone Tracy Jr.,NYG,RB,25,17,12,0,0,0,0,0,192,839,4.37,5,53,38,284,7.47,1,5,2,6,,,144,182.3,190.3,163.3,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0,839.0,39.0,511.0,2.7,328.0,1.7,6.0,32.0,53.0,38.0,284.0,13.0,3.0,0.1,281.0,7.4,0.3,6.0,6.3,5.0,9.4,1.0,82.6,,2024
93,Rhamondre Stevenson,NWE,RB,26,15,14,0,0,0,0,0,207,801,3.87,7,41,33,168,5.09,1,7,3,8,2,,143,175.9,184.9,159.4,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.0,801.0,40.0,370.0,1.8,431.0,2.1,14.0,14.8,41.0,33.0,168.0,8.0,-69.0,-2.1,237.0,7.2,-1.0,3.0,11.0,1.0,2.4,0.0,91.9,,2024
94,Brian Robinson Jr.,WAS,RB,25,14,13,0,0,0,0,0,187,799,4.27,8,25,20,159,7.95,0,2,2,8,,,140,159.8,167.8,149.8,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0,799.0,47.0,378.0,2.0,421.0,2.3,10.0,18.7,25.0,20.0,159.0,4.0,-20.0,-1.0,179.0,9.0,-0.9,1.0,20.0,0.0,0.0,1.0,76.5,,2024
95,Daniel Jones,NYG,QB,27,10,10,216,341,2070,8,7,67,265,3.96,2,0,0,0,,0,4,2,2,,,135,135.3,150.3,142.3,,28,,,,216.0,341.0,2443.0,7.2,1126.0,5.2,3.3,944.0,4.4,7.0,17.0,4.0,24.0,7.5,40.0,12.5,254.0,79.4,2.4,89.0,21.0,44.0,94.0,24.5,14.0,5.5,33.0,206.0,25.0,166.0,8.0,40.0,68.0,473.0,67.0,265.0,26.0,186.0,2.8,79.0,1.2,5.0,13.4,,,,,,,,,,,,,,,,,2024
96,Kenneth Walker III,SEA,RB,24,11,11,0,0,0,0,0,153,573,3.75,7,53,46,299,6.50,1,1,0,8,,,135,181.2,187.2,158.2,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,573.0,28.0,263.0,1.7,310.0,2.0,13.0,11.8,53.0,46.0,299.0,19.0,-64.0,-1.4,363.0,7.9,-1.2,5.0,9.2,2.0,3.8,1.0,88.6,,2024
97,Kareem Hunt,KAN,RB,29,13,8,0,0,0,0,0,200,728,3.64,7,32,23,176,7.65,0,0,0,7,,,132,155.4,161.4,143.9,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,728.0,42.0,399.0,2.0,329.0,1.6,7.0,28.6,32.0,23.0,176.0,10.0,-40.0,-1.7,216.0,9.4,-1.9,4.0,5.8,0.0,0.0,0.0,84.9,,2024
